Date,Open,High,Low,Close,Adj Close,Volume,Difference,Year,Month,Day,Difference_Afirm
2018-10-01,24.049999237060547,24.200000762939453,22.639999389648438,22.920000076293945,22.920000076293945,1090200,1.1299991607666016,2018,10,01,0
2018-10-02,23.600000381469727,24.209999084472656,23.219999313354492,23.799999237060547,23.799999237060547,2033000,-0.8799991607666016,2018,10,02,1
2018-10-03,24.600000381469727,25.549999237060547,24.25,24.5,24.5,3607300,-0.7000007629394531,2018,10,03,1
2018-10-04,24.1299991607666,24.899999618530273,23.770000457763672,24.799999237060547,24.799999237060547,912500,-0.2999992370605469,2018,10,04,1
2018-10-05,25.059999465942383,25.469999313354492,24.299999237060547,24.989999771118164,24.989999771118164,1990400,-0.1900005340576172,2018,10,05,1
2018-10-08,26.989999771118164,28.399999618530273,26.559999465942383,28.040000915527344,28.040000915527344,7009600,-3.0500011444091797,2018,10,08,1
2018-10-09,27.809999465942383,29.049999237060547,27.489999771118164,28.450000762939453,28.450000762939453,3624500,-0.4099998474121094,2018,10,09,1
2018-10-10,28.229999542236328,28.229999542236328,26.530000686645508,26.530000686645508,26.530000686645508,2506500,1.9200000762939453,2018,10,10,0
2018-10-11,26.850000381469727,27.43000030517578,25.979999542236328,26.350000381469727,26.350000381469727,1270700,0.18000030517578125,2018,10,11,0
2018-10-15,26.969999313354492,27.15999984741211,26.309999465942383,26.780000686645508,26.780000686645508,1420100,-0.43000030517578125,2018,10,15,1
2018-10-16,27.030000686645508,28.139999389648438,26.799999237060547,27.739999771118164,27.739999771118164,2850800,-0.9599990844726562,2018,10,16,1
2018-10-17,27.530000686645508,28.06999969482422,26.700000762939453,27.899999618530273,27.899999618530273,2510500,-0.15999984741210938,2018,10,17,1
2018-10-18,28.25,29.0,27.84000015258789,28.34000015258789,28.34000015258789,2966400,-0.4400005340576172,2018,10,18,1
2018-10-19,28.5,28.8799991607666,27.469999313354492,28.0,28.0,1231600,0.3400001525878906,2018,10,19,0
2018-10-22,29.799999237060547,29.799999237060547,27.93000030517578,28.5,28.5,4060600,-0.5,2018,10,22,1
